,ffr,change,scheduled,decision,prime,exports,pce,ue,rgdp,cars,recess,gdpg,veloc,house,cli,spx,usd,fed_party,potus_party
1989-01-01,,,,,,,,,,,,,,,,,,,
1989-01-02,,,,,,,,,,,,,,,,,,,
1989-01-03,,,,,,12.5,4.05,5.4,4.1,15.372,0.0,4.2,7.028,1621.0,100.5312,,,,
1989-01-04,,,,,,12.5,4.05,5.4,4.1,15.372,0.0,4.2,7.028,1621.0,100.5312,,92.5,,
1989-01-05,,,,,,12.5,4.05,5.4,4.1,15.372,0.0,4.2,7.028,1621.0,100.5312,275.3099975585937,92.16999816894533,,
1989-01-06,,,,,,12.5,4.05,5.4,4.1,15.372,0.0,4.2,7.028,1621.0,100.5312,279.42999267578125,92.9800033569336,,
1989-01-07,,,,,,12.5,4.05,5.4,4.1,15.372,0.0,4.2,7.028,1621.0,100.5312,280.010009765625,93.58999633789062,,
1989-01-08,,,,,,12.5,4.05,5.4,4.1,15.372,0.0,4.2,7.028,1621.0,100.5312,280.6700134277344,94.36000061035156,,
1989-01-09,,,,,,12.5,4.05,5.4,4.1,15.372,0.0,4.2,7.028,1621.0,100.5312,280.6700134277344,94.36000061035156,,
1989-01-10,,,,,,12.5,4.05,5.4,4.1,15.372,0.0,4.2,7.028,1621.0,100.5312,280.6700134277344,94.36000061035156,,
1989-01-11,,,,,,12.5,4.05,5.4,4.1,15.372,0.0,4.2,7.028,1621.0,100.5312,280.9800109863281,94.5,,
1989-01-12,,,,,,12.5,4.05,5.4,4.1,15.372,0.0,4.2,7.028,1621.0,100.5312,280.3800048828125,95.08999633789062,,
1989-01-13,,,,,,12.5,4.05,5.4,4.1,15.372,0.0,4.2,7.028,1621.0,100.5312,282.010009765625,94.5500030517578,,
1989-01-14,,,,,,12.5,4.05,5.4,4.1,15.372,0.0,4.2,7.028,1621.0,100.5312,283.1700134277344,94.62999725341795,,
1989-01-15,,,,,,12.5,4.05,5.4,4.1,15.372,0.0,4.2,7.028,1621.0,100.5312,283.8699951171875,95.31999969482422,,
1989-01-16,,,,,,12.5,4.05,5.4,4.1,15.372,0.0,4.2,7.028,1621.0,100.5312,283.8699951171875,95.31999969482422,,
1989-01-17,,,,,,12.5,4.05,5.4,4.1,15.372,0.0,4.2,7.028,1621.0,100.5312,283.8699951171875,95.31999969482422,,
1989-01-18,,,,,,12.5,4.05,5.4,4.1,15.372,0.0,4.2,7.028,1621.0,100.5312,284.1400146484375,96.01000213623048,,
1989-01-19,,,,,,12.5,4.05,5.4,4.1,15.372,0.0,4.2,7.028,1621.0,100.5312,283.54998779296875,95.62000274658205,,
1989-01-20,,,,,,12.5,4.05,5.4,4.1,15.372,0.0,4.2,7.028,1621.0,100.5312,286.5299987792969,96.58000183105467,1.0,1.0
1989-01-21,,,,,,12.5,4.05,5.4,4.1,15.372,0.0,4.2,7.028,1621.0,100.5312,286.9100036621094,95.83000183105467,1.0,1.0
1989-01-22,,,,,,12.5,4.05,5.4,4.1,15.372,0.0,4.2,7.028,1621.0,100.5312,286.6300048828125,95.08999633789062,1.0,1.0
1989-01-23,,,,,,12.5,4.05,5.4,4.1,15.372,0.0,4.2,7.028,1621.0,100.5312,286.6300048828125,95.08999633789062,1.0,1.0
1989-01-24,,,,,,12.5,4.05,5.4,4.1,15.372,0.0,4.2,7.028,1621.0,100.5312,286.6300048828125,95.08999633789062,1.0,1.0
1989-01-25,,,,,,12.5,4.05,5.4,4.1,15.372,0.0,4.2,7.028,1621.0,100.5312,284.5,94.94000244140624,1.0,1.0
1989-01-26,,,,,,12.5,4.05,5.4,4.1,15.372,0.0,4.2,7.028,1621.0,100.5312,288.489990234375,95.25,1.0,1.0
1989-01-27,,,,,,12.5,4.05,5.4,4.1,15.372,0.0,4.2,7.028,1621.0,100.5312,289.1400146484375,95.0500030517578,1.0,1.0
1989-01-28,,,,,,12.5,4.05,5.4,4.1,15.372,0.0,4.2,7.028,1621.0,100.5312,291.69000244140625,95.45999908447266,1.0,1.0
1989-01-29,,,,,,12.5,4.05,5.4,4.1,15.372,0.0,4.2,7.028,1621.0,100.5312,293.82000732421875,96.19000244140624,1.0,1.0
1989-01-30,,,,,,12.5,4.05,5.4,4.1,15.372,0.0,4.2,7.028,1621.0,100.5312,293.82000732421875,96.19000244140624,1.0,1.0
1989-01-31,,,,,,12.5,4.05,5.4,4.1,15.372,0.0,4.2,7.028,1621.0,100.5312,293.82000732421875,96.19000244140624,1.0,1.0
1989-02-01,,,,,,12.5,4.05,5.4,4.1,15.372,0.0,4.2,7.028,1621.0,100.5312,294.989990234375,96.02999877929688,1.0,1.0
1989-02-02,,,,,,12.5,4.05,5.4,4.1,15.372,0.0,4.2,7.028,1621.0,100.5312,297.4700012207031,96.7699966430664,1.0,1.0
1989-02-03,,,,,,12.5,4.15,5.2,4.1,14.991,0.0,4.2,7.028,1425.0,100.4231,297.0899963378906,96.58000183105467,1.0,1.0
1989-02-04,,,,,,12.5,4.15,5.2,4.1,14.991,0.0,4.2,7.028,1425.0,100.4231,296.8399963378906,96.8000030517578,1.0,1.0
1989-02-05,,,,,,12.5,4.15,5.2,4.1,14.991,0.0,4.2,7.028,1425.0,100.4231,296.9700012207031,96.73999786376952,1.0,1.0
1989-02-06,,,,,,12.5,4.15,5.2,4.1,14.991,0.0,4.2,7.028,1425.0,100.4231,296.9700012207031,96.73999786376952,1.0,1.0
1989-02-07,,,,,,12.5,4.15,5.2,4.1,14.991,0.0,4.2,7.028,1425.0,100.4231,296.9700012207031,96.73999786376952,1.0,1.0
1989-02-08,,,,,,12.5,4.15,5.2,4.1,14.991,0.0,4.2,7.028,1425.0,100.4231,296.0400085449219,96.61000061035156,1.0,1.0
1989-02-09,,,,,,12.5,4.15,5.2,4.1,14.991,0.0,4.2,7.028,1425.0,100.4231,299.6300048828125,96.58999633789062,1.0,1.0
1989-02-10,,,,,,12.5,4.15,5.2,4.1,14.991,0.0,4.2,7.028,1425.0,100.4231,298.6499938964844,96.48999786376952,1.0,1.0
1989-02-11,,,,,,12.5,4.15,5.2,4.1,14.991,0.0,4.2,7.028,1425.0,100.4231,296.0599975585937,95.6500015258789,1.0,1.0
1989-02-12,,,,,11.0,12.5,4.15,5.2,4.1,14.991,0.0,4.2,7.028,1425.0,100.4231,292.0199890136719,96.37999725341795,1.0,1.0
1989-02-13,,,,,11.0,12.5,4.15,5.2,4.1,14.991,0.0,4.2,7.028,1425.0,100.4231,292.0199890136719,96.37999725341795,1.0,1.0
1989-02-14,,,,,11.0,12.5,4.15,5.2,4.1,14.991,0.0,4.2,7.028,1425.0,100.4231,292.0199890136719,96.37999725341795,1.0,1.0
1989-02-15,,,,,11.0,12.5,4.15,5.2,4.1,14.991,0.0,4.2,7.028,1425.0,100.4231,292.5400085449219,96.16999816894533,1.0,1.0
1989-02-16,,,,,11.0,12.5,4.15,5.2,4.1,14.991,0.0,4.2,7.028,1425.0,100.4231,291.8099975585937,95.20999908447266,1.0,1.0
1989-02-17,,,,,11.0,12.5,4.15,5.2,4.1,14.991,0.0,4.2,7.028,1425.0,100.4231,294.239990234375,95.01000213623048,1.0,1.0
1989-02-18,,,,,11.0,12.5,4.15,5.2,4.1,14.991,0.0,4.2,7.028,1425.0,100.4231,294.8099975585937,95.0,1.0,1.0
1989-02-19,,,,,11.0,12.5,4.15,5.2,4.1,14.991,0.0,4.2,7.028,1425.0,100.4231,296.760009765625,94.9000015258789,1.0,1.0
1989-02-20,,,,,11.0,12.5,4.15,5.2,4.1,14.991,0.0,4.2,7.028,1425.0,100.4231,296.760009765625,94.9000015258789,1.0,1.0
1989-02-21,,,,,11.0,12.5,4.15,5.2,4.1,14.991,0.0,4.2,7.028,1425.0,100.4231,296.760009765625,94.9000015258789,1.0,1.0
1989-02-22,,,,,11.0,12.5,4.15,5.2,4.1,14.991,0.0,4.2,7.028,1425.0,100.4231,296.760009765625,94.9000015258789,1.0,1.0
1989-02-23,,,,,11.0,12.5,4.15,5.2,4.1,14.991,0.0,4.2,7.028,1425.0,100.4231,295.9800109863281,95.48999786376952,1.0,1.0
1989-02-24,,,,,11.0,12.5,4.15,5.2,4.1,14.991,0.0,4.2,7.028,1425.0,100.4231,290.9100036621094,95.23999786376952,1.0,1.0
1989-02-25,,,,,11.0,12.5,4.15,5.2,4.1,14.991,0.0,4.2,7.028,1425.0,100.4231,292.04998779296875,94.52999877929688,1.0,1.0
1989-02-26,,,,,11.5,12.5,4.15,5.2,4.1,14.991,0.0,4.2,7.028,1425.0,100.4231,287.1300048828125,94.66000366210938,1.0,1.0
1989-02-27,,,,,11.5,12.5,4.15,5.2,4.1,14.991,0.0,4.2,7.028,1425.0,100.4231,287.1300048828125,94.66000366210938,1.0,1.0
1989-02-28,,,,,11.5,12.5,4.15,5.2,4.1,14.991,0.0,4.2,7.028,1425.0,100.4231,287.1300048828125,94.66000366210938,1.0,1.0
1989-03-01,,,,,11.5,12.5,4.15,5.2,4.1,14.991,0.0,4.2,7.028,1425.0,100.4231,287.82000732421875,94.88999938964844,1.0,1.0
